,message,label
56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
57,"Sorry, I'll call later in meeting.",nonspam
58,Tell where you reached,nonspam
59,Yes..gauti and sehwag out of odi series.,nonspam
60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,nonspam
61,Ha ha ha good joke. Girls are situation seekers.,nonspam
62,Its a part of checking IQ,nonspam
63,"Sorry my roommates took forever, it ok if I come by now?",nonspam
64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,nonspam
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam
66,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",nonspam
67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
68,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam
69,I plane to give on this month end.,nonspam
70,Wah lucky man... Then can save money... Hee...,nonspam
71,Finished class where are you.,nonspam
72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,nonspam
73,K..k:)where are you?how did you performed?,nonspam
74,U can call me now...,nonspam
75,I am waiting machan. Call me once you free.,nonspam
76,Thats cool. i am a gentleman and will treat you with dignity and respect.,nonspam
77,I like you peoples very much:) but am very shy pa.,nonspam
78,Does not operate after  &lt;#&gt;  or what,nonspam
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,nonspam
80,"Sorry, I'll call later",nonspam
81,K. Did you call me just now ah? ,nonspam
82,Ok i am on the way to home hi hi,nonspam
83,You will be in the place of that man,nonspam
84,Yup next stop.,nonspam
85,"I call you later, don't have network. If urgnt, sms me.",nonspam
86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,nonspam
87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,nonspam
88,I'm really not up to it still tonight babe,nonspam
89,"Ela kano.,il download, come wen ur free..",nonspam
90,Yeah do! Don‘t stand to close tho- you‘ll catch something!,nonspam
91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,nonspam
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,nonspam
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,nonspam
95,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
96,Watching telugu movie..wat abt u?,nonspam
97,i see. When we finish we have loads of loans to pay,nonspam
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",nonspam
99,I see a cup of coffee animation,nonspam
100,Please don't text me anymore. I have nothing else to say.,nonspam
101,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,nonspam
102,I'm still looking for a car to buy. And have not gone 4the driving test yet.,nonspam
103,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,nonspam
104,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",nonspam
105,Umma my life and vava umma love you lot dear,nonspam
106,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,nonspam
107,"Aight, I'll hit you up when I get some cash",nonspam
108,How would my ip address test that considering my computer isn't a minecraft server,nonspam
109,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,nonspam
110,Dont worry. I guess he's busy.,nonspam
111,What is the plural of the noun research?,nonspam
112,Going for dinner.msg you after.,nonspam
113,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,nonspam
114,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
115,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",nonspam
116,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",nonspam
117,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam
118,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,nonspam
119,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,nonspam
120,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
121,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
122,here is my new address -apples&pairs&all that malarky,nonspam
123,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
124,I am going to sao mu today. Will be done only at 12 ,nonspam
125,Ü predict wat time ü'll finish buying?,nonspam
126,"Good stuff, will do.",nonspam
127,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",nonspam
128,Are you there in room.,nonspam
129,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,nonspam
130,K..k:)how much does it cost?,nonspam
131,I'm home.,nonspam
132,"Dear, will call Tmorrow.pls accomodate.",nonspam
133,First answer my question.,nonspam
134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam
135,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
136,I only haf msn. It's yijue@hotmail.com,nonspam
137,He is there. You call and meet him,nonspam
138,No no. I will check all rooms befor activities,nonspam
139,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
140,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,nonspam
141,"K, text me when you're on the way",nonspam
142,"Sir, Waiting for your mail.",nonspam
143,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",nonspam
144,I know you are. Can you pls open the back?,nonspam
145,Yes see ya not on the dot,nonspam
146,Whats the staff name who is taking class for us?,nonspam
147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam
148,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,nonspam
149,K..i deleted my contact that why?,nonspam
150,Sindu got job in birla soft ..,nonspam
151,The wine is flowing and i'm i have nevering..,nonspam
152,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,nonspam
153,Ok... Ur typical reply...,nonspam
154,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,nonspam
155,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",nonspam
156,Aaooooright are you at work?,nonspam
157,I'm leaving my house now...,nonspam
158,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",nonspam
159,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
160,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
161,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,nonspam
162,New car and house for my parents.:)i have only new job in hand:),nonspam
163,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,nonspam
164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
166,I place all ur points on e cultures module already.,nonspam
167,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
168,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",nonspam
169,Great escape. I fancy the bridge but needs her lager. See you tomo ,nonspam
170,Yes :)it completely in out of form:)clark also utter waste.,nonspam
171,"Sir, I need AXIS BANK account no and bank address.",nonspam
172,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",nonspam
173,What time you coming down later? ,nonspam
174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",nonspam
175,"Well, i'm gonna finish my bath now. Have a good...fine night.",nonspam
176,Let me know when you've got the money so carlos can make the call,nonspam
177,U still going to the mall?,nonspam
178,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",nonspam
179,Text her. If she doesnt reply let me know so i can have her log in,nonspam
180,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,nonspam
181,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,nonspam
182,Lol no. U can trust me.,nonspam
183,ok. I am a gentleman and will treat you with dignity and respect.,nonspam
184,"He will, you guys close?",nonspam
185,Going on nothing great.bye,nonspam
186,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,nonspam
187,"Haha awesome, be there in a minute",nonspam
188,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
189,Have you got Xmas radio times. If not i will get it now,nonspam
190,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,nonspam
191,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
192,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,nonspam
193,Hi :)finally i completed the course:),nonspam
194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,nonspam
195,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,nonspam
196,Gud mrng dear hav a nice day,nonspam
197,Did u got that persons story,nonspam
198,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,nonspam
199,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,nonspam
200,"Found it, ENC  &lt;#&gt; , where you at?",nonspam
201,I sent you  &lt;#&gt;  bucks,nonspam
202,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,nonspam
203,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,nonspam
204,Goodmorning sleeping ga.,nonspam
205,U call me alter at 11 ok.,nonspam
206,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,nonspam
207,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",nonspam
208,"Aight yo, dats straight dogg",nonspam
209,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,nonspam
210,Both :) i shoot big loads so get ready!,nonspam
211,"What's up bruv, hope you had a great break. Do have a rewarding semester.",nonspam
212,Home so we can always chat,nonspam
213,K:)k:)good:)study well.,nonspam
214,Yup... How ü noe leh...,nonspam
215,Sounds great! Are you home now?,nonspam
216,Finally the match heading towards draw as your prediction.,nonspam
217,Tired. I haven't slept well the past few nights.,nonspam
218,Easy ah?sen got selected means its good..,nonspam
219,I have to take exam with march 3,nonspam
220,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,nonspam
221,Ok no prob. Take ur time.,nonspam
222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,nonspam
223,"Sorry, I'll call later",nonspam
224,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,nonspam
225,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam
226,Would really appreciate if you call me. Just need someone to talk to.,nonspam
227,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
228,Hey company elama po mudyadhu.,nonspam
229,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",nonspam
230,Dear good morning now only i am up,nonspam
231,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,nonspam
232,Dear we are going to our rubber place,nonspam
233,"Sorry battery died, yeah I'm here",nonspam
234,Yes:)here tv is always available in work place..,nonspam
235,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
236,I have printed it oh. So  &lt;#&gt;  come upstairs,nonspam
237,Or ill be a little closer like at the bus stop on the same street,nonspam
238,Where are you?when wil you reach here?,nonspam
239,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",nonspam
240,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam
241,Tomarrow final hearing on my laptop case so i cant.,nonspam
242,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,nonspam
243,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",nonspam
244,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",nonspam
245,U don't remember that old commercial?,nonspam
246,Too late. I said i have the website. I didn't i have or dont have the slippers,nonspam
247,I asked you to call him now ok,nonspam
248,Kallis wont bat in 2nd innings.,nonspam
249,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,nonspam
250,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
251,Ranjith cal drpd Deeraj and deepak 5min hold,nonspam
252,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",nonspam
253,What you doing?how are you?,nonspam
254,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",nonspam
255,"I'm back, lemme know when you're ready",nonspam
256,Don't necessarily expect it to be done before you get back though because I'm just now headin out,nonspam
257,Mmm so yummy babe ... Nice jolt to the suzy,nonspam
258,Where are you lover ? I need you ...,nonspam
259,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
260,I‘m parked next to a MINI!!!! When are you coming in today do you think?,nonspam
261,Yup,nonspam
262,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,nonspam
263,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,nonspam
264,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam
265,Why you Dint come with us.,nonspam
266,Same. Wana plan a trip sometme then,nonspam
267,"Not sure yet, still trying to get a hold of him",nonspam
268,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam
269,The evo. I just had to download flash. Jealous?,nonspam
270,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam
271,"Come to mu, we're sorting out our narcotics situation",nonspam
272,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",nonspam
273,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
274,"Usf I guess, might as well take 1 car",nonspam
275,No objection. My bf not coming.,nonspam
276,Thanx...,nonspam
277,Tell rob to mack his gf in the theater,nonspam
278,"Awesome, I'll see you in a bit",nonspam
279,Just sent it. So what type of food do you like?,nonspam
280,All done? All handed in? Celebrations in full swing yet?,nonspam
281,You got called a tool?,nonspam
282,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",nonspam
283,Ok. I asked for money how far,nonspam
284,Okie...,nonspam
285,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",nonspam
286,"K, I might come by tonight then if my class lets out early",nonspam
287,Ok..,nonspam
288,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,nonspam
289,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",nonspam
290,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",nonspam
291,Hey you told your name to gautham ah?,nonspam
292,Haf u found him? I feel so stupid da v cam was working.,nonspam
293,Oops. 4 got that bit.,nonspam
294,Are you this much buzy,nonspam
295,I accidentally deleted the message. Resend please.,nonspam
296,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam
297,Unless it's a situation where YOU GO GURL would be more appropriate,nonspam
298,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,nonspam
299,I cant pick the phone right now. Pls send a message,nonspam
300,Need a coffee run tomo?Can't believe it's that time of week already,nonspam
301,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",nonspam
302,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",nonspam
303,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,nonspam
304,He is a womdarfull actor,nonspam
305,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam
306,Yup... From what i remb... I think should be can book... ,nonspam
307,Jos ask if u wana meet up?,nonspam
308,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,nonspam
309,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam
310,Where are the garage keys? They aren't on the bookshelf,nonspam
311,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,nonspam
312,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam
313,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,nonspam
314,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",nonspam
315,You made my day. Do have a great day too.,nonspam
316,K.k:)advance happy pongal.,nonspam
317,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",nonspam
318,"Not really dude, have no friends i'm afraid :(",nonspam
319,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam
320,"Coffee cake, i guess...",nonspam
321,"Merry Christmas to you too babe, i love ya *kisses*",nonspam
322,Hey... Why dont we just go watch x men and have lunch... Haha ,nonspam
323,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,nonspam
324,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,nonspam
325,No problem. How are you doing?,nonspam
326,No calls..messages..missed calls,nonspam
327,Hi da:)how is the todays class?,nonspam
328,"I'd say that's a good sign but, well, you know my track record at reading women",nonspam
329,"Cool, text me when you're parked",nonspam
330,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,nonspam
331,K.k:)apo k.good movie.,nonspam
332,Maybe i could get book out tomo then return it immediately ..? Or something.,nonspam
333,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam
334,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,nonspam
335,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam
336,"Ta-Daaaaa! I am home babe, are you still up ?",nonspam
337,Cool. So how come you havent been wined and dined before?,nonspam
338,Just sleeping..and surfing,nonspam
339,"Sorry, I'll call later",nonspam
340,U calling me right? Call my hand phone...,nonspam
341,Ok that's great thanx a lot.,nonspam
342,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,nonspam
343,Where u been hiding stranger?,nonspam
